acc,agent,n_alt,seed
0.1689485069097332,S0-L0,0,0
0.18046413425324112,S1-L0,0,0
0.21602805384819074,S1-L_alt,1,0
0.2330829395272396,S1-L_alt,2,0
0.24906143309439666,S1-L_alt,3,0
0.25623945646903323,S1-L_alt,4,0
0.2698467815624864,S1-L_alt,5,0
0.2740623156298176,S1-L_alt,6,0
0.2792985054595232,S1-L_alt,7,0
0.2868991300174097,S1-L_alt,8,0
0.291425201601989,S1-L_alt,9,0
0.2947958207874126,S1-L_alt,10,0
0.3004257031487809,S1-L_alt,11,0
0.30333867699752537,S1-L_alt,12,0
0.3084251000558939,S1-L_alt,13,0
0.3099718872650523,S1-L_alt,14,0
0.31151726008486125,S1-L_alt,15,0
0.31142275883152964,S1-L_alt,16,0
0.31303884593164244,S1-L_alt,17,0
0.31652329552638114,S1-L_alt,18,0
0.31783248353530463,S1-L_alt,19,0
0.32292781366619744,S1-L_alt,20,0
0.3231899974453967,S1-L_alt,21,0
0.3221968488045241,S1-L_alt,22,0
0.3282847352416239,S1-L_alt,23,0
0.3283951036801337,S1-L_alt,24,0
0.3312956712234785,S1-L_alt,25,0
0.33478442483263005,S1-L_alt,26,0
0.3322829062886053,S1-L_alt,27,0
0.3355275901694112,S1-L_alt,28,0
0.3363461928542159,S1-L_alt,29,0
0.3393540756293397,S1-L_alt,30,0
0.3398120054401015,S1-L_alt,31,0
0.3418586353333564,S1-L_alt,32,0
0.3399942715416256,S1-L_alt,33,0
0.34124356617524965,S1-L_alt,34,0
0.3440394579048873,S1-L_alt,35,0
0.34453365244414125,S1-L_alt,36,0
0.3518058187015391,S1-L_alt,37,0
0.34271525504334693,S1-L_alt,38,0
0.35140625063434394,S1-L_alt,39,0
0.34700933436588144,S1-L_alt,40,0
0.3520868316833872,S1-L_alt,41,0
0.3534310201048628,S1-L_alt,42,0
0.3480157262543653,S1-L_alt,43,0
0.34930192381246983,S1-L_alt,44,0
0.35320322751891425,S1-L_alt,45,0
0.3496993108863136,S1-L_alt,46,0
0.3505546503426711,S1-L_alt,47,0
0.3537394465724198,S1-L_alt,48,0
0.3542010627940584,S1-L_alt,49,0
0.35479775268025365,S1-L_alt,50,0
0.3557457362346369,S1-L_alt,51,0
0.3553682176361768,S1-L_alt,52,0
0.3535450706931615,S1-L_alt,53,0
0.35657628253335183,S1-L_alt,54,0
0.36053373748030254,S1-L_alt,55,0
0.3568458351866255,S1-L_alt,56,0
0.3603332579825497,S1-L_alt,57,0
0.3615203242966956,S1-L_alt,58,0
0.3594565876227891,S1-L_alt,59,0
0.3639150777835198,S1-L_alt,60,0
0.35990926541823337,S1-L_alt,61,0
0.35841345007726594,S1-L_alt,62,0
0.36605692839402215,S1-L_alt,63,0
0.36145865075011663,S1-L_alt,64,0
0.3622188731301167,S1-L_alt,65,0
0.3662392352875811,S1-L_alt,66,0
0.3599375009573421,S1-L_alt,67,0
0.3601135010852749,S1-L_alt,68,0
0.3663438895441869,S1-L_alt,69,0
0.3678072684524468,S1-L_alt,70,0
0.3632385001753358,S1-L_alt,71,0
0.3651289828720119,S1-L_alt,72,0
0.36443899500396104,S1-L_alt,73,0
0.365019611517794,S1-L_alt,74,0
0.3644895222885083,S1-L_alt,75,0
0.3680080311818793,S1-L_alt,76,0
0.3718325522575691,S1-L_alt,77,0
0.3694263381798232,S1-L_alt,78,0
0.3676154558778096,S1-L_alt,79,0
0.3672391741286546,S1-L_alt,80,0
0.36349077221239184,S1-L_alt,81,0
0.36652750434372144,S1-L_alt,82,0
0.3643360692511977,S1-L_alt,83,0
0.37162570951046986,S1-L_alt,84,0
0.3682935275373944,S1-L_alt,85,0
0.3717186816726882,S1-L_alt,86,0
0.3670478965436656,S1-L_alt,87,0
0.3702422727886959,S1-L_alt,88,0
0.37068000808337176,S1-L_alt,89,0
0.367683230943499,S1-L_alt,90,0
0.3728759425872765,S1-L_alt,91,0
0.3710515446435304,S1-L_alt,92,0
0.3717294427598988,S1-L_alt,93,0
0.3750757453223462,S1-L_alt,94,0
0.3735225870794177,S1-L_alt,95,0
0.3729006983095678,S1-L_alt,96,0
0.36984744381961976,S1-L_alt,97,0
0.3746991574124254,S1-L_alt,98,0
0.3714382241539119,S1-L_alt,99,0
0.3773093637810898,S1-L_alt,100,0
0.3745926866182011,S1-L_alt,101,0
0.3738190968691691,S1-L_alt,102,0
0.3725179561005707,S1-L_alt,103,0
0.3742485666709795,S1-L_alt,104,0
0.38102550593192186,S1-L_alt,105,0
0.3748136281916541,S1-L_alt,106,0
0.3733160897332343,S1-L_alt,107,0
0.37556417749137466,S1-L_alt,108,0
0.37521975304995775,S1-L_alt,109,0
0.3745007676286268,S1-L_alt,110,0
0.3789673515983989,S1-L_alt,111,0
0.37626795237441696,S1-L_alt,112,0
0.3742656718243583,S1-L_alt,113,0
0.3806881568165268,S1-L_alt,114,0
0.3787768193037169,S1-L_alt,115,0
0.3799760090990453,S1-L_alt,116,0
0.378518443996292,S1-L_alt,117,0
0.3771324565616861,S1-L_alt,118,0
0.3831592830522478,S1-L_alt,119,0
0.3768007523514959,S1-L_alt,120,0
0.37997385537820816,S1-L_alt,121,0
0.37936495135211545,S1-L_alt,122,0
0.3808099549458013,S1-L_alt,123,0
0.37944111306155903,S1-L_alt,124,0
0.3784125281220736,S1-L_alt,125,0
0.4034222810470938,S1-L1,126,0
0.3812484036063111,S1-L_alt,126,0
0.166040131787482,S0-L0,0,1
0.17929950602297404,S1-L0,0,1
0.21632753758939355,S1-L_alt,1,1
0.2344104716032341,S1-L_alt,2,1
0.25163234063586243,S1-L_alt,3,1
0.25978884341802194,S1-L_alt,4,1
0.26672947783272904,S1-L_alt,5,1
0.27550240178927865,S1-L_alt,6,1
0.2816178394922746,S1-L_alt,7,1
0.28920051890458515,S1-L_alt,8,1
0.2894206157756896,S1-L_alt,9,1
0.2945810852889451,S1-L_alt,10,1
0.29517777057835337,S1-L_alt,11,1
0.3043490343493493,S1-L_alt,12,1
0.3032497733913197,S1-L_alt,13,1
0.31070042395835834,S1-L_alt,14,1
0.3065814031691608,S1-L_alt,15,1
0.31234432524654904,S1-L_alt,16,1
0.3159104163204465,S1-L_alt,17,1
0.3170917507050037,S1-L_alt,18,1
0.32007774086450896,S1-L_alt,19,1
0.32323390015164405,S1-L_alt,20,1
0.3184537392301773,S1-L_alt,21,1
0.32383081536938435,S1-L_alt,22,1
0.32474533885744994,S1-L_alt,23,1
0.3265874020405207,S1-L_alt,24,1
0.3283192227461344,S1-L_alt,25,1
0.3310652722183873,S1-L_alt,26,1
0.3315850931614231,S1-L_alt,27,1
0.3310516392692962,S1-L_alt,28,1
0.33191518442648565,S1-L_alt,29,1
0.3352465069821641,S1-L_alt,30,1
0.3372691444727245,S1-L_alt,31,1
0.33790519964377524,S1-L_alt,32,1
0.3410166879681261,S1-L_alt,33,1
0.33682210365626875,S1-L_alt,34,1
0.33855558576685496,S1-L_alt,35,1
0.3403301110549698,S1-L_alt,36,1
0.3390076886327967,S1-L_alt,37,1
0.3440042498461413,S1-L_alt,38,1
0.34410428518272235,S1-L_alt,39,1
0.34080963532286984,S1-L_alt,40,1
0.3409534434006084,S1-L_alt,41,1
0.3492305898435626,S1-L_alt,42,1
0.3467282005067113,S1-L_alt,43,1
0.3534276205489331,S1-L_alt,44,1
0.3518341644894153,S1-L_alt,45,1
0.3470937195234524,S1-L_alt,46,1
0.3475326817641158,S1-L_alt,47,1
0.3474110430101075,S1-L_alt,48,1
0.34934063406655275,S1-L_alt,49,1
0.34952080637416905,S1-L_alt,50,1
0.34836434207041345,S1-L_alt,51,1
0.3520207359774345,S1-L_alt,52,1
0.3521250727160936,S1-L_alt,53,1
0.3517499128329705,S1-L_alt,54,1
0.353914623964315,S1-L_alt,55,1
0.352385693626073,S1-L_alt,56,1
0.3501322242861504,S1-L_alt,57,1
0.35373450171195114,S1-L_alt,58,1
0.35115615844389125,S1-L_alt,59,1
0.3501399102674014,S1-L_alt,60,1
0.3533726496308049,S1-L_alt,61,1
0.3551606967205589,S1-L_alt,62,1
0.355468617162211,S1-L_alt,63,1
0.3552037755102444,S1-L_alt,64,1
0.3566832511357753,S1-L_alt,65,1
0.3590238712297562,S1-L_alt,66,1
0.35284082624044943,S1-L_alt,67,1
0.3534745037593776,S1-L_alt,68,1
0.3546239132204745,S1-L_alt,69,1
0.3576688677644877,S1-L_alt,70,1
0.3647722444344653,S1-L_alt,71,1
0.36056619781982413,S1-L_alt,72,1
0.3545451333414332,S1-L_alt,73,1
0.3568989209593307,S1-L_alt,74,1
0.3582272524471788,S1-L_alt,75,1
0.35792168713009404,S1-L_alt,76,1
0.3590586072228231,S1-L_alt,77,1
0.35826654681248593,S1-L_alt,78,1
0.35848025084911295,S1-L_alt,79,1
0.361621164314644,S1-L_alt,80,1
0.3603755321650001,S1-L_alt,81,1
0.36140555270361696,S1-L_alt,82,1
0.35909973219815555,S1-L_alt,83,1
0.35786908199215056,S1-L_alt,84,1
0.3600186210383887,S1-L_alt,85,1
0.3601991252357888,S1-L_alt,86,1
0.3605687355575671,S1-L_alt,87,1
0.3631743782330829,S1-L_alt,88,1
0.3631897662475687,S1-L_alt,89,1
0.3646008961176229,S1-L_alt,90,1
0.36241576182155305,S1-L_alt,91,1
0.36164175408507304,S1-L_alt,92,1
0.3628135217818604,S1-L_alt,93,1
0.3657477205807136,S1-L_alt,94,1
0.36313657017203993,S1-L_alt,95,1
0.3683490562632887,S1-L_alt,96,1
0.3656929016048797,S1-L_alt,97,1
0.3604903463817892,S1-L_alt,98,1
0.36360340733924656,S1-L_alt,99,1
0.3650837115724148,S1-L_alt,100,1
0.3625822491469848,S1-L_alt,101,1
0.3654690449577289,S1-L_alt,102,1
0.3642694934118697,S1-L_alt,103,1
0.3651043872019333,S1-L_alt,104,1
0.3637286207141204,S1-L_alt,105,1
0.3672698368954299,S1-L_alt,106,1
0.3623581710248259,S1-L_alt,107,1
0.3653895535305742,S1-L_alt,108,1
0.3613644254017005,S1-L_alt,109,1
0.3641805771490404,S1-L_alt,110,1
0.362468767655405,S1-L_alt,111,1
0.3648483011425686,S1-L_alt,112,1
0.3643366326483967,S1-L_alt,113,1
0.3648910432278072,S1-L_alt,114,1
0.3652974006217524,S1-L_alt,115,1
0.3633574025847869,S1-L_alt,116,1
0.3664740803521045,S1-L_alt,117,1
0.3745790928697877,S1-L_alt,118,1
0.3701827668179512,S1-L_alt,119,1
0.3692540887882137,S1-L_alt,120,1
0.3663518551013735,S1-L_alt,121,1
0.3698924731270865,S1-L_alt,122,1
0.3623960411141708,S1-L_alt,123,1
0.36468226324450576,S1-L_alt,124,1
0.3654138018118251,S1-L_alt,125,1
0.3884317870016018,S1-L1,126,1
0.3652734901829368,S1-L_alt,126,1
0.2064605003291639,S0-L0,0,2
0.21465835240599174,S1-L0,0,2
0.2698983265498109,S1-L_alt,1,2
0.30038290294790043,S1-L_alt,2,2
0.31889423900355984,S1-L_alt,3,2
0.33583623690595266,S1-L_alt,4,2
0.3424560277885749,S1-L_alt,5,2
0.35886892716263474,S1-L_alt,6,2
0.3647591839340881,S1-L_alt,7,2
0.3675777688486075,S1-L_alt,8,2
0.3750712140104929,S1-L_alt,9,2
0.3830631520586406,S1-L_alt,10,2
0.39101076124937095,S1-L_alt,11,2
0.3907107154563832,S1-L_alt,12,2
0.3933312875542912,S1-L_alt,13,2
0.3991485102794979,S1-L_alt,14,2
0.40000918035268784,S1-L_alt,15,2
0.40051177393484777,S1-L_alt,16,2
0.4056949191027151,S1-L_alt,17,2
0.4081936210882777,S1-L_alt,18,2
0.4121298469107581,S1-L_alt,19,2
0.4109208600577828,S1-L_alt,20,2
0.4229971788818485,S1-L_alt,21,2
0.4241093210840999,S1-L_alt,22,2
0.4238651864173125,S1-L_alt,23,2
0.4234911788893927,S1-L_alt,24,2
0.425297888668364,S1-L_alt,25,2
0.4300876095876773,S1-L_alt,26,2
0.4329855871282691,S1-L_alt,27,2
0.4281759988560418,S1-L_alt,28,2
0.43660834424546097,S1-L_alt,29,2
0.4297218791336615,S1-L_alt,30,2
0.437456273359532,S1-L_alt,31,2
0.4338088318950972,S1-L_alt,32,2
0.4344390966502825,S1-L_alt,33,2
0.4412172275734008,S1-L_alt,34,2
0.4408820374747271,S1-L_alt,35,2
0.4446665145562554,S1-L_alt,36,2
0.4442231875213223,S1-L_alt,37,2
0.4462041438791075,S1-L_alt,38,2
0.4564337826699474,S1-L_alt,39,2
0.4443307501137436,S1-L_alt,40,2
0.4492062610957001,S1-L_alt,41,2
0.4474675156370072,S1-L_alt,42,2
0.4500384800757483,S1-L_alt,43,2
0.4560928966886941,S1-L_alt,44,2
0.4585409567477152,S1-L_alt,45,2
0.4514026057450631,S1-L_alt,46,2
0.4530741503577416,S1-L_alt,47,2
0.4536397285886346,S1-L_alt,48,2
0.4499308008238229,S1-L_alt,49,2
0.4583472327520964,S1-L_alt,50,2
0.4545784017853242,S1-L_alt,51,2
0.4537885802414754,S1-L_alt,52,2
0.4605780859773445,S1-L_alt,53,2
0.4588130705312268,S1-L_alt,54,2
0.4576905076930484,S1-L_alt,55,2
0.46117195657102794,S1-L_alt,56,2
0.4652917777437503,S1-L_alt,57,2
0.4627920027904435,S1-L_alt,58,2
0.4572870406947836,S1-L_alt,59,2
0.4615396437170455,S1-L_alt,60,2
0.4702499393294393,S1-L_alt,61,2
0.463958850882598,S1-L_alt,62,2
0.4694549897707351,S1-L_alt,63,2
0.4606848207867593,S1-L_alt,64,2
0.467259949963025,S1-L_alt,65,2
0.4616649847168391,S1-L_alt,66,2
0.4668418717024283,S1-L_alt,67,2
0.4701585146930778,S1-L_alt,68,2
0.4671209726776556,S1-L_alt,69,2
0.4744035286298785,S1-L_alt,70,2
0.4721784914077081,S1-L_alt,71,2
0.4713498960672106,S1-L_alt,72,2
0.4692363627861828,S1-L_alt,73,2
0.4700964853621048,S1-L_alt,74,2
0.4686917241910041,S1-L_alt,75,2
0.4796474021475166,S1-L_alt,76,2
0.4732415486080837,S1-L_alt,77,2
0.4722135201726673,S1-L_alt,78,2
0.4663192047292061,S1-L_alt,79,2
0.47489486382031,S1-L_alt,80,2
0.4757921563532908,S1-L_alt,81,2
0.4763825656259728,S1-L_alt,82,2
0.4733911445043161,S1-L_alt,83,2
0.4712138181774278,S1-L_alt,84,2
0.4788835505295318,S1-L_alt,85,2
0.4704552552273,S1-L_alt,86,2
0.4815201721155114,S1-L_alt,87,2
0.4831619326676408,S1-L_alt,88,2
0.4752241361789594,S1-L_alt,89,2
0.4741359033717101,S1-L_alt,90,2
0.4753429850201932,S1-L_alt,91,2
0.4751699231327169,S1-L_alt,92,2
0.479578182593205,S1-L_alt,93,2
0.4824352092797013,S1-L_alt,94,2
0.47354682693282396,S1-L_alt,95,2
0.4730183230787023,S1-L_alt,96,2
0.4784650662821088,S1-L_alt,97,2
0.4783232470447781,S1-L_alt,98,2
0.4768976254216708,S1-L_alt,99,2
0.476480387346469,S1-L_alt,100,2
0.4767811750215286,S1-L_alt,101,2
0.4792755086327818,S1-L_alt,102,2
0.4831891497006442,S1-L_alt,103,2
0.4846764425602628,S1-L_alt,104,2
0.4804435736523154,S1-L_alt,105,2
0.4845569352672066,S1-L_alt,106,2
0.4822157916559421,S1-L_alt,107,2
0.4819392868622007,S1-L_alt,108,2
0.4795301319897334,S1-L_alt,109,2
0.4806165932596422,S1-L_alt,110,2
0.4909036912195006,S1-L_alt,111,2
0.4810087511197149,S1-L_alt,112,2
0.4854159491033262,S1-L_alt,113,2
0.4834675307688991,S1-L_alt,114,2
0.4885576754131297,S1-L_alt,115,2
0.4802342733957468,S1-L_alt,116,2
0.48176426971486896,S1-L_alt,117,2
0.4874293177280167,S1-L_alt,118,2
0.4903145103066912,S1-L_alt,119,2
0.4862214143240761,S1-L_alt,120,2
0.4816192403430363,S1-L_alt,121,2
0.4880906841181416,S1-L_alt,122,2
0.4840398715043948,S1-L_alt,123,2
0.488593498935199,S1-L_alt,124,2
0.4847710134599308,S1-L_alt,125,2
0.5138821173248753,S1-L1,126,2
0.48704733644927,S1-L_alt,126,2
0.20412110062663055,S0-L0,0,3
0.21182538437734053,S1-L0,0,3
0.25442908757457605,S1-L_alt,1,3
0.2764571797028993,S1-L_alt,2,3
0.29576376745586386,S1-L_alt,3,3
0.31042557297780604,S1-L_alt,4,3
0.3255982575696457,S1-L_alt,5,3
0.3352862016447604,S1-L_alt,6,3
0.34215894190723994,S1-L_alt,7,3
0.3460080094582252,S1-L_alt,8,3
0.35760243283744364,S1-L_alt,9,3
0.36994195241601785,S1-L_alt,10,3
0.3669385846693404,S1-L_alt,11,3
0.3725268560651431,S1-L_alt,12,3
0.3763220873092735,S1-L_alt,13,3
0.3824488005226084,S1-L_alt,14,3
0.3912264633667716,S1-L_alt,15,3
0.3898887069681664,S1-L_alt,16,3
0.39572546145862014,S1-L_alt,17,3
0.3986498335148102,S1-L_alt,18,3
0.39954778432687776,S1-L_alt,19,3
